pscore,model,method,specialty,horizon_range
2.3498642819662505,lgb,Single,adm_haematology_clinical,15-21
3.064470434787457,lgb,Single,adm_haematology_clinical,15-21
2.2686497672588173,lgb,Single,adm_haematology_clinical,15-21
4.392640658199058,lgb,Single,adm_haematology_clinical,15-21
3.37806762335352,lgb,Single,adm_haematology_clinical,15-21
3.7383469880209788,lgb,Single,adm_haematology_clinical,15-21
3.2374317804662605,lgb,Single,adm_haematology_clinical,15-21
5.538217529935728,lgb,Single,adm_haematology_clinical,15-21
15.788716335075348,lgb,Single,adm_haematology_clinical,15-21
7.765674683966443,lgb,Single,adm_haematology_clinical,15-21
4.239607235246136,lgb,Single,adm_haematology_clinical,15-21
8.468702275985187,lgb,Multi,adm_haematology_clinical,15-21
3.614857059958893,lgb,Multi,adm_haematology_clinical,15-21
4.343221700052625,lgb,Multi,adm_haematology_clinical,15-21
3.5212439650984373,lgb,Multi,adm_haematology_clinical,15-21
3.5729267497475585,lgb,Multi,adm_haematology_clinical,15-21
2.8185826358623416,lgb,Multi,adm_haematology_clinical,15-21
7.00148700653711,lgb,Multi,adm_haematology_clinical,15-21
6.241166966121694,lgb,Multi,adm_haematology_clinical,15-21
3.7098860035448067,lgb,Multi,adm_haematology_clinical,15-21
4.755945101165755,lgb,Multi,adm_haematology_clinical,15-21
4.715095884331288,lgb,Multi,adm_haematology_clinical,15-21
2.0644891122360183,lgb,Multi,adm_haematology_clinical,15-21
2.979499182600019,lgb,Multi,adm_haematology_clinical,15-21
3.90245305490119,lgb,Multi,adm_haematology_clinical,15-21
3.2741796814497532,lgb,Multi,adm_haematology_clinical,15-21
5.5717045965855325,lgb,Multi,adm_haematology_clinical,15-21
3.2546990125885293,lgb,Multi,adm_haematology_clinical,15-21
4.434573837733046,lgb,Multi,adm_haematology_clinical,15-21
4.1595725272505195,lgb,Multi,adm_haematology_clinical,15-21
1.635345988281006,lgb,Multi,adm_haematology_clinical,15-21
2.4954681084640513,lgb,Multi,adm_haematology_clinical,15-21
2.893681314387575,lgb,Multi,adm_haematology_clinical,15-21
4.337396017767346,lgb,Multi,adm_haematology_clinical,15-21
3.9766216655475586,lgb,Multi,adm_haematology_clinical,15-21
3.4291571607642912,lgb,Multi,adm_haematology_clinical,15-21
2.9363360271275476,lgb,Multi,adm_haematology_clinical,15-21
2.677076536750075,lgb,Multi,adm_haematology_clinical,15-21
4.889794604353746,lgb,Multi,adm_haematology_clinical,15-21
6.220377085352285,lgb,Multi,adm_haematology_clinical,15-21
4.68492147735025,lgb,Multi,adm_haematology_clinical,15-21
3.8773851129240313,lgb,Single,adm_haematology_clinical,22-42
3.8990695746741952,lgb,Single,adm_haematology_clinical,22-42
3.2972018512173045,lgb,Single,adm_haematology_clinical,22-42
3.7476687605421986,lgb,Single,adm_haematology_clinical,22-42
4.983047856060452,lgb,Single,adm_haematology_clinical,22-42
7.800298566752425,lgb,Single,adm_haematology_clinical,22-42
5.82366328869123,lgb,Single,adm_haematology_clinical,22-42
5.937415626187134,lgb,Single,adm_haematology_clinical,22-42
5.5766605283335595,lgb,Single,adm_haematology_clinical,22-42
3.5152861521685486,lgb,Single,adm_haematology_clinical,22-42
3.527167592813748,lgb,Single,adm_haematology_clinical,22-42
3.4419318689628846,lgb,Single,adm_haematology_clinical,22-42
4.344161385796395,lgb,Single,adm_haematology_clinical,22-42
4.614224982808515,lgb,Single,adm_haematology_clinical,22-42
5.728013914748244,lgb,Single,adm_haematology_clinical,22-42
7.626055809990075,lgb,Single,adm_haematology_clinical,22-42
7.883355363277063,lgb,Single,adm_haematology_clinical,22-42
3.4836631047578117,lgb,Single,adm_haematology_clinical,22-42
3.3515566965812784,lgb,Single,adm_haematology_clinical,22-42
4.457696320757519,lgb,Single,adm_haematology_clinical,22-42
3.7846400739730477,lgb,Single,adm_haematology_clinical,22-42
2.9179794449346543,lgb,Single,adm_haematology_clinical,22-42
2.900864826227204,lgb,Single,adm_haematology_clinical,22-42
3.4805685771346964,lgb,Single,adm_haematology_clinical,22-42
5.606369055418286,lgb,Single,adm_haematology_clinical,22-42
10.494873581481494,lgb,Single,adm_haematology_clinical,22-42
13.35798162955061,lgb,Single,adm_haematology_clinical,22-42
8.276803707226154,lgb,Single,adm_haematology_clinical,22-42
3.4286885237309455,lgb,Single,adm_haematology_clinical,22-42
3.3991282727356764,lgb,Single,adm_haematology_clinical,22-42
3.9869398086237973,lgb,Multi,adm_haematology_clinical,22-42
3.7833429554669453,lgb,Multi,adm_haematology_clinical,22-42
3.812426592618722,lgb,Multi,adm_haematology_clinical,22-42
3.3895602626361976,lgb,Multi,adm_haematology_clinical,22-42
3.9002576597738488,lgb,Multi,adm_haematology_clinical,22-42
5.180217068071644,lgb,Multi,adm_haematology_clinical,22-42
4.488283928835029,lgb,Multi,adm_haematology_clinical,22-42
4.214749785772126,lgb,Multi,adm_haematology_clinical,22-42
4.3741830457257,lgb,Multi,adm_haematology_clinical,22-42
3.7369565101349322,lgb,Multi,adm_haematology_clinical,22-42
3.46330180999637,lgb,Multi,adm_haematology_clinical,22-42
3.1082970780994064,lgb,Multi,adm_haematology_clinical,22-42
4.3973011010916405,lgb,Multi,adm_haematology_clinical,22-42
4.158806517165894,lgb,Multi,adm_haematology_clinical,22-42
4.145566425614971,lgb,Multi,adm_haematology_clinical,22-42
5.451464133710324,lgb,Multi,adm_haematology_clinical,22-42
5.447680903883381,lgb,Multi,adm_haematology_clinical,22-42
